login,вход,Type your password to complete the **login**.,2
logout,выход,Always click **logout** on shared computers.,2
signup,регистрация,Quick **signup** takes less than one minute.,2
captcha,капча,Solve the **captcha** to prove you are human.,3
sync,синхронизация,Cloud **sync** keeps all your devices updated.,3
domain,домен,She bought a cheap **domain** for her blog.,3
url,ссылка,Copy the **url** from your address bar.,2
html,HTML,He learned **html** to build his first website.,3
api,API,The weather app uses a public **api**.,3
token,токен,Your access **token** expired yesterday morning.,3
vpn,VPN,Turn on the **vpn** before opening public wifi.,3
outage,сбой,The huge **outage** lasted over three hours.,4
reboot,перезагрузка,A quick **reboot** fixed the frozen screen.,3
widget,виджет,Add a weather **widget** to your home screen.,3
toolbar,панель,Hide the **toolbar** for a cleaner workspace.,3
sidebar,сайдбар,Recent chats appear in the left **sidebar**.,3
navbar,меню,The top **navbar** shows your current balance.,3
dropdown,список,Pick your country from the **dropdown**.,3
toggle,переключатель,Flip the **toggle** to enable dark mode.,3
modal,окно,A confirmation **modal** popped up after checkout.,4
popup,всплывающее,An annoying **popup** blocked the main article.,3
gif,гифка,She sent a funny cat **gif** in the chat.,2
pixel,пиксель,Every dead **pixel** ruins the whole screen.,3
ransomware,вымогатель,A nasty **ransomware** locked all his files.,4
spyware,шпионская,The **spyware** secretly recorded every keystroke.,4
adware,рекламная,This free app bundles **adware** with its installer.,4
botnet,ботнет,His laptop joined a huge **botnet** unknowingly.,5
keylogger,кейлоггер,A hidden **keylogger** stole her banking details.,5
backdoor,бэкдор,Attackers installed a secret **backdoor** on the server.,5
exploit,эксплойт,Hackers used a zero-day **exploit** yesterday.,4
vulnerability,уязвимость,They reported a serious **vulnerability** to the team.,4
firmware,прошивка,Update your router **firmware** for better security.,3
codec,кодек,Install the missing **codec** to play this movie.,3
plugin,плагин,A broken **plugin** crashed my browser again.,3
extension,расширение,This **extension** blocks annoying trackers easily.,3
addon,дополнение,Download the grammar **addon** for your browser.,3
blacklist,чёрный,Spammy senders go straight to the **blacklist**.,3
whitelist,белый,Add trusted contacts to your **whitelist**.,3
forum,форум,She answered his question on a gaming **forum**.,3
dm,личка,He slid into her **dm** last night.,3
sms,смс,The bank sent a verification **sms** instantly.,2
ringtone,рингтон,Her loud **ringtone** embarrassed everyone at dinner.,3
homescreen,экран,Drag the app icon to your **homescreen**.,3
unlock,разблокировать,Use your fingerprint to **unlock** the phone.,2
passcode,пин-код,Never share your six-digit **passcode** with anyone.,2
analytics,аналитика,She checks site **analytics** every single morning.,3
metric,метрика,Engagement is our most important **metric** now.,3
impression,показ,Every ad **impression** costs advertisers real money.,3
algorithm,алгоритм,The **algorithm** shows you similar videos forever.,3
explore,просматривать,Tap **explore** to see what is trending today.,3
discover,открывать,Tap **discover** to find new creators daily.,3
autocomplete,автодополнение,Smart **autocomplete** finishes his sentences perfectly.,4
autofill,автозаполнение,**Autofill** saved him from retyping long addresses.,3
prompt,запрос,Write a clearer **prompt** for better results.,3
query,запрос,This database **query** returns millions of rows.,3
keyword,ключевое,Pick the right **keyword** for better search results.,3
seo,SEO,Good **seo** brings free traffic from search engines.,3
sponsored,спонсорский,Every **sponsored** post must be clearly labeled.,3
affiliate,партнёрский,Bloggers earn money through **affiliate** links.,3
tracking,отслеживание,Block third-party **tracking** in your browser settings.,3
beacon,маячок,A hidden **beacon** sends data to advertisers.,4
logs,логи,Check the server **logs** for strange activity.,3
dump,дамп,A massive data **dump** leaked online yesterday.,4
stolen,украденный,Your **stolen** password appeared in a known leak.,3
credential,учётные,Never reuse the same **credential** across websites.,4
reset,сбросить,Click the link to **reset** your password.,2
recover,восстановить,Use your backup codes to **recover** the account.,3
authenticator,аутентификатор,Open your **authenticator** app for the code.,4
timeline,лента,His **timeline** is full of travel photos.,3
repost,репост,One **repost** can spread rumors very quickly.,3
mention,упоминание,She got a nice **mention** from a popular creator.,3
bio,биография,Update your **bio** to include your new job.,2
livestream,стрим,Thousands watched his gaming **livestream** last night.,3
podcast,подкаст,I listen to a history **podcast** while running.,2
subscriber,подписчик,Every new **subscriber** gets a welcome email.,3
thumbnail,превью,A bright **thumbnail** attracts more clicks easily.,3
caption,подпись,Write a catchy **caption** for your photo.,3
subtitle,субтитры,Turn on the English **subtitle** for this film.,2
outbox,исходящие,Her email stuck in the **outbox** all morning.,3
uninstall,удалить,**Uninstall** the app if it keeps crashing.,2
passphrase,кодовая,A long **passphrase** is safer than a short password.,3
encryption,шифрование,Strong **encryption** protects your private messages.,4
antivirus,антивирус,Good **antivirus** scans files in the background.,3
trojan,троян,A hidden **trojan** came with the free game.,4
lurker,наблюдатель,Every **lurker** reads without posting anything.,3
moderator,модератор,The chat **moderator** deleted rude comments quickly.,3
emoji,эмодзи,She ended every sentence with a smiling **emoji**.,2
homepage,главная,Set this site as your browser **homepage**.,2
redirect,перенаправление,A broken **redirect** sent me to a dead page.,3
unfollow,отписаться,Just **unfollow** accounts that annoy you.,2
buffering,загрузка,Slow **buffering** ruined the whole movie night.,3
hotspot,точка,Share your phone **hotspot** with my laptop.,3
binge,запой,He loves to **binge** crime shows on weekends.,3
playlist,плейлист,Her workout **playlist** has eighty great songs.,2
clickbait,кликбейт,That headline is pure **clickbait** and nothing more.,3
chatbot,чатбот,A friendly **chatbot** answered all my questions instantly.,3
selfie,селфи,She took a quick **selfie** near the waterfall.,2
tether,раздача,Use **tether** mode to share your phone data.,3
