pebble,галька,She threw a **pebble** into the still pond.,2
boulder,валун,A huge **boulder** blocked the mountain path.,3
twig,веточка,The bird carried a **twig** to its nest.,2
acorn,жёлудь,A squirrel buried an **acorn** under the bush.,3
pinecone,сосновая шишка,I found a dry **pinecone** on the trail.,3
sprout,росток,A tiny green **sprout** pushed through the earth.,3
moss,мох,Soft **moss** covered the old stone wall.,3
lichen,лишайник,Yellow **lichen** grew on the northern rocks.,4
drizzle,моросить,It began to **drizzle** during our picnic.,3
sleet,мокрый снег,Cold **sleet** tapped against the kitchen window.,4
frost,иней,Morning **frost** covered the grass blades.,3
dew,роса,Silver **dew** glistened on every leaf.,3
haze,дымка,A warm **haze** hung above the fields.,3
gust,порыв,A sudden **gust** slammed the garden gate.,3
breeze,ветерок,A gentle **breeze** stirred the curtains.,2
downpour,ливень,We ran home during the heavy **downpour**.,3
blizzard,метель,The **blizzard** trapped hikers in the mountains.,3
thunderclap,раскат грома,A loud **thunderclap** woke the sleeping baby.,4
drought,засуха,The long **drought** killed all the crops.,3
flood,наводнение,The **flood** swept away three wooden bridges.,3
gorge,ущелье,A narrow **gorge** cut through the red hills.,4
ravine,овраг,We climbed out of the steep **ravine**.,4
plateau,плато,The vast **plateau** stretched toward the horizon.,4
dune,дюна,Children rolled down the sandy **dune**.,2
marsh,болото,Frogs croaked loudly in the quiet **marsh**.,3
lagoon,лагуна,Blue fish swam in the shallow **lagoon**.,3
estuary,устье,Seabirds gathered at the river **estuary**.,4
peninsula,полуостров,The small **peninsula** jutted into the sea.,4
glacier,ледник,The ancient **glacier** slowly melted each summer.,3
canyon,каньон,Wind howled through the deep **canyon**.,3
waterfall,водопад,We swam beneath the cold **waterfall**.,2
brook,ручей,A tiny **brook** trickled past our tent.,3
rapids,пороги,The kayak raced through dangerous **rapids**.,4
tide,прилив,The rising **tide** covered our footprints.,2
ripple,рябь,Each **ripple** spread across the calm lake.,3
beaver,бобр,A **beaver** built a dam on the stream.,3
otter,выдра,The playful **otter** dove beneath the surface.,3
squirrel,белка,A grey **squirrel** climbed the tall trunk.,2
hedgehog,ёж,A shy **hedgehog** crossed our garden path.,3
badger,барсук,A striped **badger** peeked from its burrow.,4
sparrow,воробей,A little **sparrow** hopped on the windowsill.,2
crow,ворона,A black **crow** landed on the fence.,2
hawk,ястреб,The **hawk** circled high above the meadow.,3
butterfly,бабочка,A yellow **butterfly** rested on the blossom.,2
dragonfly,стрекоза,A blue **dragonfly** hovered over the lily.,3
moth,мотылёк,A grey **moth** fluttered near the lamp.,3
beetle,жук,A shiny **beetle** crawled across my shoe.,3
worm,червь,A pink **worm** wriggled through wet soil.,2
snail,улитка,The slow **snail** left a silver trail.,2
willow,ива,An old **willow** bent over the riverbank.,3
birch,берёза,White **birch** trees lined the quiet road.,3
fern,папоротник,A soft **fern** grew under the tall tree.,3
ivy,плющ,Green **ivy** climbed the old brick wall.,3
thorn,шип,A sharp **thorn** scratched my bare ankle.,2
blossom,цветок,The apple **blossom** filled the air with fragrance.,3
bud,бутон,A tight rose **bud** opened in the sun.,3
pollen,пыльца,Yellow **pollen** dusted the bee's legs.,3
sap,сок,Sticky **sap** dripped from the wounded tree.,3
migrate,мигрировать,Geese **migrate** south every cold autumn.,3
hibernate,впадать в спячку,Bears **hibernate** throughout the long winter.,3
wither,вянуть,The flowers began to **wither** without water.,3
decay,разлагаться,Fallen leaves slowly **decay** on the ground.,3
erode,размывать,Waves **erode** the soft coastal cliffs.,4
nest,гнездо,The robin built its **nest** in our hedge.,2
graze,пастись,Wild horses **graze** in the open valley.,3
prey,добыча,The eagle spotted its **prey** from above.,3
dusk,сумерки,Bats appeared at the edge of **dusk**.,3
dawn,рассвет,Birds sang loudly at the first **dawn**.,2
twilight,сумерки,The sky glowed pink during **twilight**.,3
constellation,созвездие,He pointed to a bright **constellation** overhead.,4
rugged,суровый,The **rugged** coastline attracted brave surfers.,4
barren,бесплодный,Nothing grew on the **barren** rocky slope.,4
lush,пышный,A **lush** green forest surrounded the village.,3
fertile,плодородный,The **fertile** soil produced huge vegetables.,3
arid,засушливый,Only cactus survived in the **arid** desert.,4
muddy,грязный,Our boots sank in the **muddy** trail.,2
swampy,болотистый,The **swampy** ground bubbled under our feet.,3
puddle,лужа,The child jumped into every **puddle**.,2
meander,извиваться,The river began to **meander** through farmland.,4
flock,стая,A **flock** of geese flew overhead.,3
herd,стадо,A **herd** of deer crossed the meadow.,3
swarm,рой,A **swarm** of bees left the hive.,3
burrow,нора,The fox hid inside its deep **burrow**.,3
den,логово,Wolves rested safely in their warm **den**.,3
habitat,среда обитания,This wetland is an important bird **habitat**.,3
wildlife,дикая природа,The park protects many kinds of **wildlife**.,3
predator,хищник,Every **predator** needs a steady food supply.,3
extinct,вымерший,Many large animals are now **extinct**.,3
endangered,под угрозой исчезновения,Pandas remain an **endangered** species today.,3
pollution,загрязнение,Air **pollution** harms plants and animals.,3
conservation,охрана природы,Local groups support forest **conservation** efforts.,4
ecosystem,экосистема,A healthy reef is a complex **ecosystem**.,4
shore,берег,We walked along the rocky **shore** at sunset.,2
coast,побережье,Fishermen lived near the windy **coast**.,2
reef,риф,Colorful fish darted around the coral **reef**.,3
clay,глина,Red **clay** stuck to our shovels.,3
shrub,кустарник,A thick **shrub** hid the rabbit hole.,3
pasture,пастбище,Cows wandered across the green **pasture**.,3
orchard,сад,Apples ripened in the old **orchard**.,3
grove,роща,We picnicked in a small olive **grove**.,4
