transmission,коробка передач,The automatic **transmission** shifts gears very smoothly now.,4,driving
valve,клапан,A broken engine **valve** caused the loud noise.,4,driving
filter,фильтр,The mechanic replaced the dirty oil **filter**.,3,driving
fluid,жидкость,Check the brake **fluid** level every month.,3,driving
sensor,датчик,The parking **sensor** beeps when you get close.,3,driving
differential,дифференциал,The rear **differential** was leaking oil badly.,5,driving
drivetrain,трансмиссия,The entire **drivetrain** needs a full inspection soon.,5,driving
emission,выбросы,The car failed its annual **emission** test again.,4,driving
dipstick,щуп для масла,Pull out the **dipstick** to check oil levels.,4,driving
cable,провод,The jumper **cable** connects to the dead battery.,3,driving
spanner,гаечный ключ,Pass me the **spanner** from the toolbox.,4,driving
diagnostic,диагностика,The shop ran a **diagnostic** on my engine.,4,driving
rpm,обороты двигателя,Watch the **rpm** gauge climbing near the redline.,4,driving
idle,холостой ход,Let the engine **idle** for a few minutes.,3,driving
accelerate,ускоряться,You need to **accelerate** faster on the ramp.,3,driving
decelerate,замедляться,Begin to **decelerate** before the sharp curve.,4,driving
vent,вентиляционное отверстие,The air **vent** blows cold air on me.,3,driving
sunroof,люк,She opened the **sunroof** to enjoy the breeze.,3,driving
cargo,груз,The truck carried heavy **cargo** across the country.,3,driving
trailer,прицеп,His pickup pulled a small **trailer** behind it.,3,driving
hitch,фаркоп,The **hitch** connects the trailer to the truck.,3,driving
petrol,бензин,British drivers usually say **petrol** not gasoline.,3,driving
ethanol,этанол,Some cars can run on **ethanol** blended fuel.,4,driving
mechanic,автомеханик,My favorite **mechanic** works near the train station.,2,driving
repair,ремонт,The engine **repair** will take three days total.,2,driving
curbside,у обочины,She waited **curbside** for her ride to arrive.,3,driving
divider,разделитель,A concrete **divider** separates the highway lanes.,3,driving
cone,конус,An orange traffic **cone** marked the closed lane.,2,driving
barricade,заграждение,Police set up a **barricade** on the main road.,3,driving
flagger,регулировщик,The road **flagger** directed traffic around the construction.,4,driving
semi,фура,A huge **semi** truck blocked both lanes ahead.,3,driving
upholstery,обивка,The leather **upholstery** was cracked and worn.,4,driving
emblem,эмблема,The hood **emblem** identifies the car brand.,3,driving
decal,наклейка,A parking **decal** was stuck to the windshield.,4,driving
cruiser,полицейский автомобиль,A police **cruiser** pulled up behind me.,3,driving
unmarked,без опознавательных знаков,An **unmarked** police car followed the speeding driver.,4,driving
infotainment,мультимедиа система,The new **infotainment** screen has navigation and music.,4,driving
bulb,лампочка,The headlight **bulb** burned out last night.,3,driving
dial,циферблат,The fuel **dial** pointed to almost empty.,3,driving
navigation,навигация,The car **navigation** suggested a faster route.,3,driving
bearing,подшипник,A worn wheel **bearing** makes a humming noise.,4,driving
piston,поршень,The engine **piston** moves up and down rapidly.,4,driving
cylinder,цилиндр,This engine has six cylinders and one **cylinder** misfires.,4,driving
coil,катушка,A faulty ignition **coil** can cause misfires.,4,driving
stripe,полоса,The yellow **stripe** divides opposing traffic lanes.,2,driving
chevron,шеврон,A warning **chevron** marks the dangerous curve ahead.,4,driving
arrow,стрелка,A green **arrow** signal means protected left turn.,2,driving
gasket,прокладка,The head **gasket** began leaking oil yesterday.,4,driving
washer,омыватель,The windshield **washer** fluid is running low.,3,driving
winch,лебёдка,He used a **winch** to pull the stuck car.,4,driving
trucker,дальнобойщик,The tired **trucker** stopped at a rest area.,3,driving
commuter,пассажир пригородного поезда,Every **commuter** complained about the morning traffic jam.,3,driving
copilot,штурман,My wife acted as **copilot** on the long trip.,3,driving
motorhome,дом на колёсах,They traveled in a huge **motorhome** for weeks.,3,driving
lorry,грузовик,In Britain people say **lorry** instead of truck.,3,driving
forklift,погрузчик,A warehouse **forklift** loaded heavy boxes onto trucks.,4,driving
congestion,пробки,Rush hour **congestion** slowed traffic to a crawl.,3,driving
checkpoint,контрольно-пропускной пункт,The border **checkpoint** stopped every passing vehicle.,3,driving
pitstop,короткая остановка,We made a quick **pitstop** for snacks and gas.,3,driving
smog,смог,Heavy **smog** made the highway barely visible.,3,driving
gridlock,пробка,Downtown **gridlock** trapped thousands of cars yesterday.,4,driving
rubberneck,глазеть,Drivers often **rubberneck** at accident scenes slowing traffic.,4,driving
jaywalk,переходить в неположенном месте,Do not **jaywalk** across this busy highway.,4,driving
gawker,зевака,A curious **gawker** slowed down near the crash.,4,driving
convoy,автоколонна,A military **convoy** took the whole highway shoulder.,3,driving
caravan,караван,A **caravan** of trucks headed to the border.,3,driving
flasher,мигалка,The emergency **flasher** warned oncoming drivers of trouble.,3,driving
wreck,развалина,An old rusted **wreck** sat in the junkyard.,3,driving
wreckage,обломки,Tow trucks cleared the twisted **wreckage** from the road.,4,driving
wrecker,буксировщик,A **wrecker** arrived to tow the damaged sedan.,4,driving
impound,забирать на штрафстоянку,Police will **impound** your car if you flee.,4,driving
flatbed,эвакуатор с платформой,A **flatbed** tow truck lifted the crashed vehicle.,4,driving
autonomous,автономный,An **autonomous** car drove itself down the street.,4,driving
driverless,беспилотный,The **driverless** shuttle serves the airport terminal.,4,driving
bluetooth,блютуз,My phone connects to the car by **bluetooth**.,2,driving
adapter,переходник,I need a power **adapter** for the cigarette lighter.,3,driving
holder,держатель,The phone **holder** mounts onto the dashboard.,2,driving
mount,крепление,She installed a new phone **mount** above the radio.,3,driving
freshener,ароматизатор,A pine **freshener** hung from the rearview mirror.,3,driving
floormat,коврик,The rubber **floormat** protects the carpet from mud.,3,driving
