christening,крещение,The whole family attended the baby's **christening** on Sunday.,3,family
baptism,крещение,Her **baptism** was held at the small riverside church.,3,family
memorial,поминки,We held a quiet **memorial** for my grandfather last spring.,3,family
nostalgia,ностальгия,Looking at old photos fills me with deep **nostalgia**.,3,family
adolescent,подросток,Every **adolescent** needs both freedom and firm boundaries.,4,family
elderly,пожилой,Their **elderly** neighbor is like a grandmother to the kids.,2,family
daycare,детский сад,She drops her son off at **daycare** before work every morning.,2,family
diaper,подгузник,He changed the **diaper** in the middle of the night again.,2,family
cradle,колыбель,The father rocked the **cradle** until the baby fell asleep.,2,family
adoption,усыновление,Their **adoption** process took almost three years to complete.,3,family
estrangement,отчуждение,Years of silence led to a painful **estrangement** from her sister.,4,family
conflict,конфликт,Every family deals with **conflict** from time to time.,3,family
compromise,компромисс,A good marriage requires daily **compromise** from both partners.,3,family
custom,обычай,It is a family **custom** to open gifts on Christmas Eve.,3,family
ritual,ритуал,Sunday breakfast is a beloved **ritual** in our household.,3,family
praise,похвала,Children thrive when they receive genuine **praise** for their efforts.,3,family
permissive,попустительский,Some experts say overly **permissive** parenting leads to entitlement.,4,family
cherish,дорожить,I **cherish** every moment spent with my aging parents.,3,family
wean,отлучать от груди,The doctor advised her to **wean** the baby at six months.,4,family
puberty,половое созревание,Talking openly about **puberty** helps teenagers feel less confused.,4,family
blended,смешанная (о семье),Their **blended** family came together beautifully after the wedding.,3,family
prenatal,дородовой,She attended every **prenatal** checkup during her pregnancy.,3,family
postnatal,послеродовой,The clinic offers free **postnatal** support to all new mothers.,4,family
postpartum,послеродовой,She struggled with **postpartum** depression after the birth.,4,family
rivalry,соперничество,Sibling **rivalry** is completely normal in large families.,3,family
heredity,наследственность,Many personality traits are shaped by **heredity** and environment equally.,4,family
genetics,генетика,The doctor explained that the condition was linked to **genetics**.,4,family
memento,сувенир на память,She kept the old watch as a **memento** of her late father.,4,family
obituary,некролог,The family wrote a heartfelt **obituary** for the local newspaper.,4,family
condolence,соболезнование,He sent a card expressing his **condolence** after her loss.,4,family
grief,горе,Her **grief** after losing her mother lasted for many months.,3,family
mourning,траур,The family spent a week in quiet **mourning** after the funeral.,3,family
bereaved,осиротевший,The **bereaved** father could barely speak at the service.,4,family
bereavement,тяжелая утрата,Counseling helped her work through the **bereavement** after the divorce.,4,family
tombstone,надгробие,They placed fresh flowers on the **tombstone** every anniversary.,4,family
cremation,кремация,He left instructions requesting **cremation** instead of burial.,4,family
urn,урна,The family kept the ashes in a ceramic **urn** on the mantle.,4,family
epitaph,эпитафия,The simple **epitaph** on the stone captured her spirit perfectly.,5,family
tribute,дань уважения,Each child shared a personal **tribute** at the memorial service.,4,family
vow,клятва,They wrote their own **vow** instead of using traditional words.,3,family
elope,тайно пожениться,The couple decided to **elope** rather than plan a big wedding.,4,family
separation,разлучение,The family went through a long **separation** before the divorce.,3,family
annulment,аннулирование брака,The court granted an **annulment** because the marriage was invalid.,5,family
mediation,медиация,They chose **mediation** to settle custody without going to court.,4,family
surrogate,суррогатная мать,A generous **surrogate** carried their baby for nine months.,4,family
miscarriage,выкидыш,She opened up about her **miscarriage** to help other women.,4,family
stillbirth,мертворождённость,The parents quietly mourned their **stillbirth** with close family.,5,family
premature,недоношенный,Their **premature** baby spent six weeks in the hospital.,3,family
pediatrics,педиатрия,The clinic specializes in **pediatrics** and family health.,4,family
breastfeed,кормить грудью,She chose to **breastfeed** her son for the first year.,3,family
teether,прорезыватель,The baby chewed on his **teether** to ease the pain.,3,family
tantrum,истерика,Her toddler threw a **tantrum** in the middle of the grocery store.,2,family
potty,горшок,They started **potty** training when she turned two years old.,2,family
bedwetting,ночное недержание,The doctor reassured them that **bedwetting** is common at that age.,3,family
grounding,домашний арест,He received a two-week **grounding** for sneaking out at night.,3,family
console,утешать,She tried to **console** her daughter after the difficult breakup.,3,family
concede,уступать,Good partners know when to **concede** and when to stand firm.,4,family
solitude,одиночество,Introverted children need some **solitude** even within a busy family.,4,family
confide,доверять (тайну),She always **confides** in her older sister when something is wrong.,3,family
tenderness,нежность,The **tenderness** between the father and newborn was beautiful to see.,3,family
adore,обожать,My little nephew **adores** his grandfather and follows him everywhere.,2,family
dote,обожать,Grandparents tend to **dote** on their grandchildren without restraint.,3,family
pamper,баловать,She loves to **pamper** her grandkids whenever they come to visit.,3,family
cling,цепляться,Young children naturally **cling** to a parent in unfamiliar places.,3,family
outgrow,перерасти,Kids **outgrow** their clothes so quickly in the first few years.,2,family
sorrow,печаль,The **sorrow** of losing a parent never fully goes away.,3,family
reminisce,вспоминать,The siblings sat together and **reminisced** about their childhood summers.,4,family
legacy,наследие,He wanted to leave a **legacy** of kindness for his children.,3,family
provider,кормилец,After the job loss he struggled with his role as **provider**.,3,family
reprimand,выговор,She gave her son a firm **reprimand** for lying to the teacher.,4,family
courtship,ухаживание,Their **courtship** lasted two years before he finally proposed.,3,family
dowry,приданое,In some cultures a **dowry** is still expected at marriage.,4,family
nuptials,бракосочетание,The whole village gathered to celebrate the young couple's **nuptials**.,4,family
leniency,снисходительность,The teacher's **leniency** was appreciated by students with younger siblings.,4,family
adolescence,подростковый возраст,**Adolescence** is often the most challenging phase for both parent and child.,3,family
breastfeeding,грудное вскармливание,Experts recommend **breastfeeding** for at least the first six months.,3,family
empty nest,синдром пустого гнезда,She felt a wave of sadness as **empty nest** settled into the house.,3,family
latchkey,безнадзорный,Many **latchkey** kids learn independence early out of necessity.,4,family
suitor,поклонник,Her father disapproved of every **suitor** who came to the door.,4,family
